nbins,sigma,n_iters,alpha,failures,fps
4,0.1,1,0.0,145,2822.4414344081943
4,0.1,1,0.0001,150,3040.6868364335446
4,0.1,1,0.001,146,3069.0250867186674
4,0.1,1,0.01,147,3023.230606131986
4,0.1,1,0.1,151,2916.8520834098254
4,0.1,1,0.2,154,2219.489593729137
4,0.1,10,0.0,140,1884.3379373502448
4,0.1,10,0.0001,135,1952.333207820254
4,0.1,10,0.001,142,1758.736668728567
4,0.1,10,0.01,139,1909.891357393216
4,0.1,10,0.1,145,2197.831561117126
4,0.1,10,0.2,144,2807.5503757287293
4,0.1,20,0.0,140,2288.603303846324
4,0.1,20,0.0001,135,2259.119683961611
4,0.1,20,0.001,142,2080.896406431896
4,0.1,20,0.01,139,2409.2472271150286
4,0.1,20,0.1,145,2193.8331693320647
4,0.1,20,0.2,144,2090.7230466331785
4,0.5,1,0.0,88,2303.1484869056694
4,0.5,1,0.0001,93,2364.799143508231
4,0.5,1,0.001,98,2793.4918417893223
4,0.5,1,0.01,99,3169.7795612899226
4,0.5,1,0.1,120,3053.9267955762934
4,0.5,1,0.2,127,3101.720266808459
4,0.5,10,0.0,55,1746.8795412296975
4,0.5,10,0.0001,52,1427.9505378206807
4,0.5,10,0.001,52,1339.6927740421781
4,0.5,10,0.01,60,1505.8511064805557
4,0.5,10,0.1,77,1646.5443315234859
4,0.5,10,0.2,89,1585.3166669325055
4,0.5,20,0.0,53,1295.638462748576
4,0.5,20,0.0001,53,1464.7005240200676
4,0.5,20,0.001,52,1454.566580347478
4,0.5,20,0.01,58,1407.954127229288
4,0.5,20,0.1,77,1491.6795383687963
4,0.5,20,0.2,88,1805.145391812517
4,1.0,1,0.0,82,2430.9773802241684
4,1.0,1,0.0001,82,2375.357206279241
4,1.0,1,0.001,83,2499.767538896043
4,1.0,1,0.01,87,2749.0648278393437
4,1.0,1,0.1,113,3003.5802208656887
4,1.0,1,0.2,119,3053.439467820283
4,1.0,10,0.0,42,1640.3715333940197
4,1.0,10,0.0001,42,1584.2917344077623
4,1.0,10,0.001,43,1589.3310907691543
4,1.0,10,0.01,42,1788.863124756375
4,1.0,10,0.1,72,1772.265917328763
4,1.0,10,0.2,87,1814.4066181623139
4,1.0,20,0.0,42,1161.0158919101473
4,1.0,20,0.0001,42,1273.1420319243182
