color_space,bg_ratio,alpha,failures,fps
RGB,2,0.0,23,981.3834180536059
RGB,2,0.01,28,983.1416678642549
RGB,3,0.0,22,1203.4542697416332
RGB,3,0.01,32,1297.8086117523583
RGB,4,0.0,26,1377.7498994473156
RGB,4,0.01,33,1357.3144637208052
LAB,2,0.0,26,831.715505618441
LAB,2,0.01,32,834.2593763169986
LAB,3,0.0,23,812.2907624468487
LAB,3,0.01,34,827.4428334249195
LAB,4,0.0,23,812.0671001017624
LAB,4,0.01,34,873.5402642120018
HSV,2,0.0,21,1002.2362625911306
HSV,2,0.01,22,1138.1756464924833
HSV,3,0.0,26,1151.0703313577128
HSV,3,0.01,24,1134.0371399792052
HSV,4,0.0,23,1229.0696032033222
HSV,4,0.01,28,1223.9141538699523
YCrCb,2,0.0,25,1230.2263121849471
YCrCb,2,0.01,33,1316.7729141175973
YCrCb,3,0.0,22,1320.3779687354358
YCrCb,3,0.01,32,1370.8133344963162
YCrCb,4,0.0,25,1520.392550143007
YCrCb,4,0.01,33,1337.7408572658599
BGR,2,0.0,23,1646.4229825461498
BGR,2,0.01,28,1667.354908703848
BGR,3,0.0,22,1628.793154656817
BGR,3,0.01,32,1709.0793574577224
BGR,4,0.0,26,1385.169168298584
BGR,4,0.01,33,1436.5035715961567
